task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,False,0.7333333333333334,0.6,0.0,,0.78,0.0,0.2246666666666667
HumanEval/1,False,,,0.0,,0.84,0.0,0.084
HumanEval/2,False,0.9,0.9,0.0,0.9999961853027344,0.8200000000000001,0.0,0.36199961853027346
HumanEval/3,False,0.6555555555555556,0.09999999999999998,0.0,,0.0,0.0,0.13111111111111112
HumanEval/4,False,0.8,0.8,0.375,,0.62,0.0,0.29700000000000004
HumanEval/5,False,,,0.0,,0.5,0.0,0.05
HumanEval/6,False,,,0.0,,0.88,0.0,0.08800000000000001
HumanEval/7,False,0.6,0.6,0.0,0.999995231628418,0.86,0.0,0.3059995231628418
HumanEval/8,False,0.6,0.6,0.1,0.9999973773956299,0.6599999999999999,0.0,0.305999737739563
HumanEval/9,False,0.7,0.7,0.0,,0.38,0.0,0.178
HumanEval/10,False,,,0.0,,0.0,0.0,0.0
HumanEval/11,False,0.8,0.8,0.0,,0.78,0.0,0.23800000000000004
HumanEval/12,False,0.9,0.9,0.0,0.9999968210856119,0.84,0.0,0.3639996821085612
HumanEval/13,True,0.9,0.9,0.0,0.9999957879384359,0.8200000000000001,1.0,0.7619995787938436
HumanEval/14,False,,,0.0,,0.8,0.0,0.08000000000000002
HumanEval/15,False,0.9,0.9,0.0,0.9999982515970866,0.86,0.0,0.3659998251597087
HumanEval/16,False,0.7,0.7,0.0,,0.72,0.0,0.21199999999999997
HumanEval/17,False,0.75,0.7,0.1666666666666666,,0.56,0.0,0.23933333333333334
HumanEval/18,False,0.9,0.9,0.4,0.999997615814209,0.74,0.0,0.4339997615814209
HumanEval/19,False,0.9,0.9,0.0,0.9999982515970866,0.86,0.0,0.3659998251597087
HumanEval/20,False,0.8666666666666667,0.8,0.0,,0.62,0.0,0.23533333333333334
HumanEval/21,False,0.9,0.9,0.0,,0.8200000000000001,0.0,0.262
HumanEval/22,False,0.8666666666666667,0.8,0.0,,0.8,0.0,0.25333333333333335
HumanEval/23,False,0.9,0.9,0.0,0.9999961853027344,0.7,0.0,0.34999961853027345
HumanEval/24,False,0.4,0.4,0.6363636363636364,0.9999979337056478,0.76,0.0,0.3832725206432921
HumanEval/25,False,0.9,0.9,0.375,,0.5,0.0,0.305
HumanEval/26,False,0.6333333333333333,0.6,0.0,,0.62,0.0,0.18866666666666668
HumanEval/27,False,0.85,0.8,0.0,0.9999975363413492,0.8,0.0,0.349999753634135
HumanEval/28,False,0.9,0.9,0.25,0.9999980926513672,0.9,0.0,0.4199998092651368
HumanEval/29,False,0.7,0.7,0.0,0.9999987284342448,0.78,0.0,0.31799987284342446
HumanEval/30,False,0.7,0.7,0.0,,0.8,0.0,0.22
HumanEval/31,True,0.6,0.6,0.625,0.9999980131785074,0.8200000000000001,1.0,0.8269998013178508
HumanEval/32,False,0.7666666666666666,0.6,0.0,0.999997615814209,0.31999999999999995,0.0,0.28533309491475417
HumanEval/33,False,0.9,0.9,0.0,0.9999982515970866,0.88,0.0,0.3679998251597087
HumanEval/34,False,0.9,0.9,0.0,,0.88,0.0,0.268
HumanEval/35,True,0.9,0.9,0.0,0.9999983310699463,0.8200000000000001,1.0,0.7619998331069948
HumanEval/36,False,1.0,1.0,0.0,0.9999978542327881,0.96,0.0,0.39599978542327885
HumanEval/37,False,,,0.0,,0.8,0.0,0.08000000000000002
HumanEval/38,False,0.6,0.6,0.0,0.9999978542327881,0.84,0.0,0.3039997854232788
HumanEval/39,False,0.8,0.7,0.0,,0.24,0.0,0.18400000000000002
HumanEval/40,False,,,0.0,,0.5,0.0,0.05
HumanEval/41,False,0.9,0.9,0.0,0.9999976952870687,0.78,0.0,0.3579997695287069
HumanEval/42,False,0.8,0.8,0.0,,0.74,0.0,0.23400000000000004
HumanEval/43,False,0.8666666666666667,0.8,0.0,0.9999973773956299,0.74,0.0,0.34733307107289635
HumanEval/44,False,,,0.0,,0.8200000000000001,0.0,0.08200000000000002
HumanEval/45,False,0.9,0.9,0.0,0.9999973773956299,0.8,0.0,0.359999737739563
HumanEval/46,False,,,0.0,,0.21999999999999997,0.0,0.022
HumanEval/47,False,0.9,0.9,0.5,0.9999965826670328,0.7,0.0,0.44999965826670335
HumanEval/48,False,,,0.0,,0.88,0.0,0.08800000000000001
HumanEval/49,False,1.0,1.0,0.0,,0.7,0.0,0.27
HumanEval/50,False,,,0.0,,0.18000000000000005,0.0,0.018000000000000006
HumanEval/51,False,0.9,0.9,0.0,0.9999977747599283,0.6599999999999999,0.0,0.34599977747599286
HumanEval/52,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/53,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/54,False,0.725,0.5,0.0,0.9999985694885254,0.36,0.0,0.28099985694885254
HumanEval/55,False,,,0.0,,0.74,0.0,0.074
HumanEval/56,False,,,0.0,,0.62,0.0,0.062
HumanEval/57,False,0.4,0.4,0.0,,0.7,0.0,0.15000000000000002
HumanEval/58,False,0.9,0.9,0.0,0.9999973773956299,0.84,0.0,0.363999737739563
HumanEval/59,False,0.5,0.5,0.0,,0.64,0.0,0.164
HumanEval/60,False,0.9,0.9,0.0,0.9999980131785074,0.6799999999999999,0.0,0.34799980131785074
HumanEval/61,False,0.6,0.6,0.0,0.9999980926513672,0.6799999999999999,0.0,0.28799980926513674
HumanEval/62,False,0.9,0.9,0.0,,0.86,0.0,0.266
HumanEval/63,False,0.9,0.9,0.0,0.9999981721242269,0.86,0.0,0.36599981721242275
HumanEval/64,False,0.30000000000000004,0.30000000000000004,0.0,0.9999984900156657,0.88,0.0,0.24799984900156657
HumanEval/65,False,0.9,0.9,0.0,0.9999980926513672,0.84,0.0,0.36399980926513675
HumanEval/66,False,,,0.0,,0.6599999999999999,0.0,0.06599999999999999
