task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/1,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/2,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/3,True,0.7,0.7,0.0,,0.86,1.0,0.626
HumanEval/4,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/5,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/6,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/7,True,0.7,0.7,0.0,,0.96,1.0,0.636
HumanEval/8,False,,,0.0,,0.88,0.0,0.08800000000000001
HumanEval/9,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/10,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/11,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/12,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/13,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/14,True,0.8,0.8,0.0,,0.96,1.0,0.656
HumanEval/15,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/16,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/17,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/18,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/19,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/20,False,1.0,1.0,0.0,,0.62,0.0,0.262
HumanEval/21,True,0.8,0.8,0.0,,0.92,1.0,0.652
HumanEval/22,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/23,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/24,False,,,0.0,,0.94,0.0,0.094
HumanEval/25,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/26,False,0.7,0.7,0.0,,0.84,0.0,0.22399999999999998
HumanEval/27,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/28,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/29,True,0.7,0.7,0.0,,0.96,1.0,0.636
HumanEval/30,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/31,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/32,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/33,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/34,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/35,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/36,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/37,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/38,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/39,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/40,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/41,False,0.9,0.9,0.0,0.999998410542806,0.74,0.0,0.3539998410542807
HumanEval/42,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/43,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/44,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/45,True,0.9,0.9,0.0,0.9999983310699463,0.96,1.0,0.7759998331069947
HumanEval/46,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/47,True,0.8,0.8,0.0,0.9999987284342448,0.86,1.0,0.7459998728434245
HumanEval/48,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/49,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/50,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/51,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/52,True,0.8,0.8,0.0,0.9999984900156657,0.96,1.0,0.7559998490015666
HumanEval/53,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/54,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/55,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/56,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/57,False,,,0.0,,0.94,0.0,0.094
HumanEval/58,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/59,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/60,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/61,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/62,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/63,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/64,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/65,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/66,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/67,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/68,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/69,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/70,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/71,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/72,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/73,False,0.6,0.6,0.4444444444444445,0.999998410542806,0.8,0.0,0.38888872994316953
HumanEval/74,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/75,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/76,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/77,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/78,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/79,False,0.8,0.8,0.33333333333333337,0.9999987284342448,0.88,0.0,0.4146665395100912
HumanEval/80,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/81,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/82,True,0.6,0.6,0.6,0.9999986489613851,0.8,1.0,0.8199998648961386
HumanEval/83,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/84,False,,,0.0,,0.92,0.0,0.09200000000000001
