task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,True,0.6,0.6,0.1666666666666666,0.9999976952870687,0.9,1.0,0.7433331028620401
HumanEval/1,False,0.6,0.6,0.7,0.9999987284342448,0.78,0.0,0.4379998728434245
HumanEval/2,True,0.9,0.9,0.0,0.9999988873799642,0.96,1.0,0.7759998887379965
HumanEval/3,False,0.6,0.6,0.0,,0.84,0.0,0.20400000000000001
HumanEval/4,True,0.8,0.8,0.0,,0.96,1.0,0.656
HumanEval/5,True,0.7,0.7,0.0,,0.86,1.0,0.626
HumanEval/6,False,0.5,0.5,0.7272727272727273,0.9999985694885254,0.64,0.0,0.40945440240339803
HumanEval/7,True,0.7,0.7,0.0,,0.96,1.0,0.636
HumanEval/8,True,0.8,0.8,0.0,,0.86,1.0,0.646
HumanEval/9,False,0.6,0.6,0.0,,0.88,0.0,0.20800000000000002
HumanEval/10,False,0.5,0.5,0.0,0.9999985694885254,0.74,0.0,0.27399985694885254
HumanEval/11,False,0.6,0.6,0.14285714285714288,0.9999984900156657,0.84,0.0,0.33257127757299515
HumanEval/12,False,,,0.0,,0.98,0.0,0.098
HumanEval/13,True,0.5,0.5,0.0,0.9999987284342448,0.8200000000000001,1.0,0.6819998728434244
HumanEval/14,True,0.8,0.8,0.0,,0.9,1.0,0.65
HumanEval/15,True,0.8,0.8,0.0,0.9999983310699463,0.96,1.0,0.7559998331069947
HumanEval/16,True,0.9,0.9,0.0,0.9999985694885254,0.96,1.0,0.7759998569488525
HumanEval/17,False,0.7,0.7,0.7,0.9999987284342448,0.8,0.0,0.4599998728434245
HumanEval/18,True,0.7,0.7,0.5,0.9999986489613851,0.88,1.0,0.8279998648961385
HumanEval/19,False,0.9,0.9,0.25,0.9999989668528239,0.92,0.0,0.4219998966852824
HumanEval/20,True,0.7,0.7,0.0,,0.6599999999999999,1.0,0.606
HumanEval/21,True,0.8,0.8,0.0,,0.9,1.0,0.65
HumanEval/22,True,0.7,0.7,0.0,,0.96,1.0,0.636
HumanEval/23,True,0.9,0.9,0.0,0.9999988079071045,0.96,1.0,0.7759998807907105
HumanEval/24,True,0.7,0.7,0.2,0.9999986489613851,0.9,1.0,0.7699998648961386
HumanEval/25,True,0.6,0.6,0.18181818181818182,,0.76,1.0,0.6323636363636365
HumanEval/26,False,0.7,0.7,0.625,0.9999988079071045,0.84,0.0,0.44899988079071046
HumanEval/27,True,0.8,0.8,0.0,0.9999989668528239,0.96,1.0,0.7559998966852824
HumanEval/28,True,0.9,0.9,0.0,,0.96,1.0,0.676
HumanEval/29,True,0.7,0.7,0.0,,0.98,1.0,0.638
HumanEval/30,False,0.7,0.7,0.0,,0.96,0.0,0.236
HumanEval/31,True,0.6,0.6,0.0,0.9999988079071045,0.86,1.0,0.7059998807907104
HumanEval/32,False,0.4,0.4,0.0,0.9999989668528239,0.72,0.0,0.2519998966852824
HumanEval/33,False,0.7,0.7,0.375,0.9999988873799642,0.8200000000000001,0.0,0.39699988873799646
HumanEval/34,True,0.9,0.9,0.0,0.9999990463256836,0.96,1.0,0.7759999046325684
HumanEval/35,True,0.9,0.9,0.0,0.9999990463256836,0.96,1.0,0.7759999046325684
HumanEval/36,False,0.5,0.5,0.33333333333333337,0.9999988873799642,0.88,0.0,0.35466655540466313
HumanEval/37,False,0.8,0.8,0.0,0.9999989668528239,0.92,0.0,0.3519998966852825
HumanEval/38,False,0.75,0.6,0.0,0.9999988873799642,0.88,0.0,0.33799988873799647
HumanEval/39,False,,,0.0,,0.84,0.0,0.084
HumanEval/40,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/41,False,,,0.0,,0.96,0.0,0.096
HumanEval/42,True,0.8,0.8,0.0,0.9999990463256836,0.96,1.0,0.7559999046325684
HumanEval/43,True,0.6,0.6,0.0,0.9999989668528239,0.96,1.0,0.7159998966852824
HumanEval/44,False,,,0.0,,0.86,0.0,0.08600000000000001
