task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,True,0.6,0.6,0.005,,0.88,1.0,0.1382084646002237
HumanEval/1,False,0.5,0.5,0.909090909090909,0.9999972184499105,0.78,0.0,0.0
HumanEval/2,True,0.9,0.9,0.5,0.9999984900156657,0.8200000000000001,1.0,0.7793928684024108
HumanEval/3,False,0.6,0.6,0.33333333333333337,,0.8,0.0,0.0
HumanEval/4,False,0.9,0.9,0.005,,0.8,0.0,0.0
HumanEval/5,False,0.7,0.7,0.005,,0.96,0.0,0.0
HumanEval/6,False,0.5,0.5,0.909090909090909,0.9999980926513672,0.78,0.0,0.0
HumanEval/7,True,0.7,0.7,0.005,,0.96,1.0,0.14977744774437016
HumanEval/8,False,0.8,0.8,0.005,0.9999985694885254,0.9,0.0,0.0
HumanEval/9,True,0.8,0.8,0.005,0.9999987284342448,0.96,1.0,0.24893311178162336
HumanEval/10,False,,,0.0,,0.74,0.0,0.0
HumanEval/11,False,,,0.0,,0.9,0.0,0.0
HumanEval/12,False,,,0.0,,0.98,0.0,0.0
HumanEval/13,True,0.7,0.7,0.5,0.9999982515970866,0.72,1.0,0.7085164621055782
HumanEval/14,False,0.8,0.8,0.005,0.9999987284342448,0.96,0.0,0.0
HumanEval/15,True,0.8,0.8,0.005,0.9999987284342448,0.84,1.0,0.24076019216487846
HumanEval/16,True,0.9,0.9,0.005,0.9999987284342448,0.84,1.0,0.24795496669099026
HumanEval/17,False,,,0.0,,0.5800000000000001,0.0,0.0
HumanEval/18,False,0.9,0.9,0.5,0.9999983310699463,0.96,0.0,0.0
HumanEval/19,False,,,0.0,,0.88,0.0,0.0
HumanEval/20,False,,,0.0,,0.98,0.0,0.0
HumanEval/21,True,0.8,0.8,0.005,0.9999987284342448,0.96,1.0,0.24893311178162336
HumanEval/22,True,0.7,0.7,0.005,,0.96,1.0,0.14977744774437016
HumanEval/23,True,0.9,0.9,0.5,0.9999986489613851,0.96,1.0,0.810719819055544
HumanEval/24,True,0.7,0.7,0.005,0.9999991257985433,0.92,1.0,0.23821213032324576
HumanEval/25,False,,,0.0,,0.64,0.0,0.0
HumanEval/26,False,0.9,0.9,0.005,0.9999988873799642,0.96,0.0,0.0
HumanEval/27,True,0.9,0.9,0.5,0.9999981721242269,0.96,1.0,0.8107197224100625
HumanEval/28,True,0.9,0.9,0.5,0.9999988873799642,0.96,1.0,0.8107198673782718
HumanEval/29,True,0.7,0.7,0.005,,0.96,1.0,0.14977744774437016
HumanEval/30,True,0.7,0.7,0.005,0.9999987284342448,0.96,1.0,0.24076019216487846
HumanEval/31,True,0.7,0.7,0.005,0.9999988873799642,0.96,1.0,0.24076020173184054
HumanEval/32,False,0.75,0.7,0.005,0.9999985694885254,0.5800000000000001,0.0,0.0
HumanEval/33,False,0.9,0.9,0.005,0.9999988873799642,0.96,0.0,0.0
HumanEval/34,True,0.9,0.9,0.005,0.9999990463256836,0.96,1.0,0.256372142713822
HumanEval/35,True,0.9,0.9,0.005,0.9999989668528239,0.84,1.0,0.24795498147027545
HumanEval/36,False,0.5,0.5,0.6666666666666667,0.9999988079071045,0.88,0.0,0.0
HumanEval/37,False,0.9,0.9,0.005,0.9999989668528239,0.96,0.0,0.0
HumanEval/38,False,0.75,0.6,0.2,0.9999989668528239,0.74,0.0,0.0
HumanEval/39,False,,,0.0,,0.98,0.0,0.0
HumanEval/40,False,,,0.0,,0.88,0.0,0.0
HumanEval/41,False,0.9,0.9,0.005,0.9999988873799642,0.96,0.0,0.0
HumanEval/42,True,0.8,0.8,0.005,0.9999990463256836,0.96,1.0,0.24893313156507244
HumanEval/43,False,0.6,0.6,0.005,,0.9,0.0,0.0
HumanEval/44,False,0.9,0.9,0.005,0.999998410542806,0.96,0.0,0.0
HumanEval/45,True,0.9,0.9,0.005,0.9999988873799642,0.96,1.0,0.25637213252649804
HumanEval/46,False,0.8,0.8,0.005,0.9999988873799642,0.9,0.0,0.0
HumanEval/47,False,0.9,0.9,0.005,0.9999990463256836,0.96,0.0,0.0
HumanEval/48,True,0.9,0.9,0.005,0.9999990463256836,0.96,1.0,0.256372142713822
HumanEval/49,True,0.9,0.9,0.005,0.9999989668528239,0.96,1.0,0.2563721376201602
HumanEval/50,False,0.85,0.8,0.005,0.9999988873799642,0.8200000000000001,0.0,0.0
HumanEval/51,False,0.7,0.7,0.5,0.9999990463256836,0.96,0.0,0.0
HumanEval/52,True,0.8,0.8,0.005,0.9999988873799642,0.96,1.0,0.2489331216733485
HumanEval/53,True,0.9,0.9,0.005,0.9999989668528239,0.96,1.0,0.2563721376201602
HumanEval/54,False,0.9,0.9,0.005,0.9999987284342448,0.96,0.0,0.0
HumanEval/55,False,0.8,0.8,0.005,0.9999988873799642,0.74,0.0,0.0
HumanEval/56,False,0.7,0.7,0.005,0.9999989668528239,0.96,0.0,0.0
HumanEval/57,False,,,0.0,,0.96,0.0,0.0
HumanEval/58,True,0.9,0.9,0.005,0.9999988079071045,0.96,1.0,0.2563721274328356
HumanEval/59,True,0.6,0.6,0.7777777777777778,0.9999988873799642,0.8,1.0,0.7816711282564097
HumanEval/60,True,0.9,0.9,0.005,0.9999990463256836,0.96,1.0,0.256372142713822
HumanEval/61,False,,,0.0,,0.98,0.0,0.0
HumanEval/62,False,0.8,0.8,0.005,0.9999990463256836,0.96,0.0,0.0
HumanEval/63,False,0.8,0.8,0.25,0.9999989668528239,0.9,0.0,0.0
HumanEval/64,False,0.7,0.7,0.5,0.9999989668528239,0.88,0.0,0.0
HumanEval/65,False,0.8,0.8,0.4,0.9999987284342448,0.72,0.0,0.0
HumanEval/66,True,0.7,0.7,0.005,0.9999989668528239,0.96,1.0,0.24076020651532115
HumanEval/67,False,0.9,0.9,0.25,0.9999983310699463,0.92,0.0,0.0
HumanEval/68,False,,,0.0,,0.98,0.0,0.0
HumanEval/69,False,,,0.0,,0.84,0.0,0.0
HumanEval/70,False,0.8,0.8,0.005,0.9999988079071045,0.96,0.0,0.0
