task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,True,0.6,0.6,0.0,,0.88,1.0,0.608
HumanEval/1,False,0.30000000000000004,0.30000000000000004,0.6842105263157895,0.9999979337056478,0.54,0.0,0.3508418986337227
HumanEval/2,False,,,0.0,,0.84,0.0,0.084
HumanEval/3,False,,,0.0,,0.96,0.0,0.096
HumanEval/4,False,,,0.0,,0.94,0.0,0.094
HumanEval/5,False,,,0.0,,0.96,0.0,0.096
HumanEval/6,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/7,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/8,False,,,0.0,,0.42000000000000004,0.0,0.04200000000000001
HumanEval/9,True,0.6,0.6,0.7272727272727273,0.9999986489613851,0.78,1.0,0.843454410350684
HumanEval/10,False,,,0.0,,0.94,0.0,0.094
HumanEval/11,False,,,0.0,,0.88,0.0,0.08800000000000001
HumanEval/12,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/13,False,,,0.0,,0.86,0.0,0.08600000000000001
HumanEval/14,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/15,True,0.8,0.8,0.0,0.9999987284342448,0.86,1.0,0.7459998728434245
HumanEval/16,False,,,0.0,,0.94,0.0,0.094
HumanEval/17,False,,,0.0,,0.74,0.0,0.074
HumanEval/18,True,0.7,0.7,0.6666666666666667,0.9999980131785074,0.8,1.0,0.8533331346511841
HumanEval/19,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/20,False,,,0.0,,0.96,0.0,0.096
HumanEval/21,True,0.8,0.8,0.0,0.9999985694885254,0.94,1.0,0.7539998569488525
HumanEval/22,True,0.7,0.7,0.0,0.9999988079071045,0.94,1.0,0.7339998807907104
HumanEval/23,True,0.9,0.9,0.0,0.9999985694885254,0.96,1.0,0.7759998569488525
HumanEval/24,False,,,0.0,,0.94,0.0,0.094
HumanEval/25,True,0.7,0.7,0.6,0.9999984900156657,0.78,1.0,0.8379998490015665
HumanEval/26,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/27,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/28,False,,,0.0,,0.84,0.0,0.084
HumanEval/29,False,,,0.0,,0.96,0.0,0.096
HumanEval/30,True,0.7,0.7,0.0,0.9999988873799642,0.96,1.0,0.7359998887379965
HumanEval/31,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/32,False,,,0.0,,0.94,0.0,0.094
HumanEval/33,False,0.5,0.5,0.25,0.9999976952870687,0.8,0.0,0.3299997695287069
HumanEval/34,False,0.9,0.9,0.0,,0.88,0.0,0.268
HumanEval/35,True,0.8,0.8,0.0,0.9999987284342448,0.94,1.0,0.7539998728434245
HumanEval/36,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/37,False,,,0.0,,0.94,0.0,0.094
HumanEval/38,False,,,0.0,,0.94,0.0,0.094
HumanEval/39,False,1.0,1.0,0.0,,0.94,0.0,0.29400000000000004
HumanEval/40,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/41,False,0.7,0.7,0.33333333333333337,0.999998410542806,0.88,0.0,0.3946665077209473
HumanEval/42,True,0.8,0.8,0.0,0.9999988873799642,0.96,1.0,0.7559998887379965
HumanEval/43,True,0.7,0.7,0.5714285714285714,0.9999988873799642,0.86,1.0,0.8402856030237108
HumanEval/44,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/45,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/46,False,0.6,0.6,0.0,0.9999985694885254,0.8,0.0,0.29999985694885256
HumanEval/47,True,0.8,0.8,0.33333333333333337,0.9999988079071045,0.74,1.0,0.8006665474573771
HumanEval/48,True,0.9,0.9,0.0,0.9999988079071045,0.74,1.0,0.7539998807907105
HumanEval/49,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/50,False,,,0.0,,0.8,0.0,0.08000000000000002
HumanEval/51,True,0.7,0.7,0.0,0.9999985694885254,0.6799999999999999,1.0,0.7079998569488525
HumanEval/52,False,,,0.0,,0.94,0.0,0.094
HumanEval/53,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/54,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/55,False,,,0.0,,0.96,0.0,0.096
HumanEval/56,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/57,True,0.6,0.6,0.0,0.9999985694885254,0.8,1.0,0.6999998569488526
HumanEval/58,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/59,False,1.0,1.0,0.0,,0.48,0.0,0.248
HumanEval/60,True,0.8,0.8,0.0,0.9999985694885254,0.9,1.0,0.7499998569488525
HumanEval/61,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/62,True,0.8,0.8,0.0,0.9999987284342448,0.96,1.0,0.7559998728434245
HumanEval/63,True,0.5,0.5,0.0,0.999998410542806,0.76,1.0,0.6759998410542807
HumanEval/64,False,,,0.0,,0.96,0.0,0.096
HumanEval/65,False,,,0.0,,0.76,0.0,0.07600000000000001
HumanEval/66,False,,,0.0,,0.94,0.0,0.094
HumanEval/67,False,0.9,0.9,0.0,0.999998410542806,0.96,0.0,0.37599984105428064
HumanEval/68,True,0.5,0.5,0.6666666666666667,0.9999987284342448,0.8200000000000001,1.0,0.8153332061767578
HumanEval/69,True,0.7,0.7,0.42857142857142866,0.9999987284342448,0.6599999999999999,1.0,0.7917141585577102
HumanEval/70,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/71,True,0.6,0.6,0.0,0.9999981721242269,0.8200000000000001,1.0,0.7019998172124227
