task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,True,0.6,0.6,0.0,,0.88,1.0,0.726636084983398
HumanEval/1,False,0.30000000000000004,0.30000000000000004,0.6842105263157895,0.9999976952870687,0.54,0.0,0.0
HumanEval/2,False,,,0.0,,0.84,0.0,0.0
HumanEval/3,False,,,0.0,,0.96,0.0,0.0
HumanEval/4,False,,,0.0,,0.94,0.0,0.0
HumanEval/5,False,,,0.0,,0.96,0.0,0.0
HumanEval/6,False,,,0.0,,0.9,0.0,0.0
HumanEval/7,False,,,0.0,,0.92,0.0,0.0
HumanEval/8,False,,,0.0,,0.42000000000000004,0.0,0.0
HumanEval/9,True,0.6,0.6,0.7272727272727273,0.999998410542806,0.78,1.0,0.7638104857325072
HumanEval/10,False,,,0.0,,0.94,0.0,0.0
HumanEval/11,False,,,0.0,,0.88,0.0,0.0
HumanEval/12,False,,,0.0,,0.92,0.0,0.0
HumanEval/13,False,,,0.0,,0.86,0.0,0.0
HumanEval/14,False,,,0.0,,0.92,0.0,0.0
HumanEval/15,True,0.8,0.8,0.0,0.9999986489613851,0.86,1.0,0.882800594922165
HumanEval/16,False,,,0.0,,0.94,0.0,0.0
HumanEval/17,False,,,0.0,,0.74,0.0,0.0
HumanEval/18,True,0.7,0.7,0.6666666666666667,0.9999980131785074,0.8,1.0,0.7816709574216539
HumanEval/19,False,,,0.0,,0.9,0.0,0.0
HumanEval/20,False,,,0.0,,0.96,0.0,0.0
HumanEval/21,True,0.8,0.8,0.0,0.9999985694885254,0.94,1.0,0.909366755134996
HumanEval/22,True,0.7,0.7,0.0,0.9999988873799642,0.94,1.0,0.8697781034022553
HumanEval/23,True,0.9,0.9,0.0,0.9999984900156657,0.96,1.0,0.9524401517905342
HumanEval/24,False,,,0.0,,0.94,0.0,0.0
HumanEval/25,True,0.7,0.7,0.6,0.9999987284342448,0.78,1.0,0.7565468636846797
HumanEval/26,False,,,0.0,,0.92,0.0,0.0
HumanEval/27,False,,,0.0,,0.92,0.0,0.0
HumanEval/28,False,,,0.0,,0.84,0.0,0.0
HumanEval/29,False,,,0.0,,0.96,0.0,0.0
HumanEval/30,True,0.7,0.7,0.0,0.9999988079071045,0.96,1.0,0.8759034799245293
HumanEval/31,False,,,0.0,,0.9,0.0,0.0
HumanEval/32,False,,,0.0,,0.94,0.0,0.0
HumanEval/33,False,0.5,0.5,0.25,0.9999985694885254,0.8,0.0,0.0
HumanEval/34,False,0.9,0.9,0.0,,0.88,0.0,0.0
HumanEval/35,True,0.8,0.8,0.0,0.9999987284342448,0.94,1.0,0.9093668033150467
HumanEval/36,False,,,0.0,,0.9,0.0,0.0
HumanEval/37,False,,,0.0,,0.94,0.0,0.0
HumanEval/38,False,,,0.0,,0.94,0.0,0.0
HumanEval/39,False,1.0,1.0,0.0,,0.94,0.0,0.0
HumanEval/40,False,,,0.0,,0.92,0.0,0.0
HumanEval/41,False,0.7,0.7,0.33333333333333337,0.9999986489613851,0.88,0.0,0.0
HumanEval/42,True,0.8,0.8,0.0,0.9999988079071045,0.96,1.0,0.9157710301476634
HumanEval/43,True,0.7,0.7,0.5714285714285714,0.9999988873799642,0.86,1.0,0.7658425462588723
HumanEval/44,False,,,0.0,,0.92,0.0,0.0
HumanEval/45,False,,,0.0,,0.92,0.0,0.0
HumanEval/46,False,0.6,0.6,0.0,0.9999988079071045,0.8,0.0,0.0
HumanEval/47,True,0.8,0.8,0.33333333333333337,0.9999988873799642,0.74,1.0,0.6664997520731432
HumanEval/48,True,0.9,0.9,0.0,0.9999988873799642,0.74,1.0,0.8732888502497992
HumanEval/49,False,,,0.0,,0.92,0.0,0.0
HumanEval/50,False,,,0.0,,0.8,0.0,0.0
HumanEval/51,True,0.7,0.7,0.0,0.9999988873799642,0.6799999999999999,1.0,0.7807922426027251
HumanEval/52,False,,,0.0,,0.94,0.0,0.0
HumanEval/53,False,,,0.0,,0.92,0.0,0.0
HumanEval/54,False,,,0.0,,0.92,0.0,0.0
HumanEval/55,False,,,0.0,,0.96,0.0,0.0
HumanEval/56,False,,,0.0,,0.92,0.0,0.0
HumanEval/57,True,0.6,0.6,0.0,0.9999987284342448,0.8,1.0,0.7829731963661901
HumanEval/58,False,,,0.0,,0.92,0.0,0.0
HumanEval/59,False,1.0,1.0,0.0,,0.48,0.0,0.0
HumanEval/60,True,0.8,0.8,0.0,0.9999985694885254,0.9,1.0,0.8962805219311684
HumanEval/61,False,,,0.0,,0.92,0.0,0.0
HumanEval/62,True,0.8,0.8,0.0,0.9999988079071045,0.96,1.0,0.9157710301476634
HumanEval/63,True,0.5,0.5,0.0,0.9999988079071045,0.76,1.0,0.7243153565268818
HumanEval/64,False,,,0.0,,0.96,0.0,0.0
HumanEval/65,False,,,0.0,,0.76,0.0,0.0
HumanEval/66,False,,,0.0,,0.94,0.0,0.0
HumanEval/67,False,0.9,0.9,0.0,0.9999985694885254,0.96,0.0,0.0
HumanEval/68,True,0.5,0.5,0.6666666666666667,0.9999987284342448,0.8200000000000001,1.0,0.7230577932062823
HumanEval/69,True,0.7,0.7,0.42857142857142866,0.9999988079071045,0.6599999999999999,1.0,0.6670619491484542
HumanEval/70,False,,,0.0,,0.92,0.0,0.0
HumanEval/71,True,0.6,0.6,0.0,0.9999981721242269,0.8200000000000001,1.0,0.7894441962942519
HumanEval/72,True,0.7,0.7,0.0,0.9999986489613851,0.9,1.0,0.8572615021665277
HumanEval/73,True,0.6,0.6,0.375,0.9999988079071045,0.8200000000000001,1.0,0.6553887211995815
HumanEval/74,False,0.8,0.8,0.1666666666666666,0.9999986489613851,0.86,0.0,0.0
HumanEval/75,True,0.8,0.8,0.42857142857142866,0.9999986489613851,0.7,1.0,0.6999268659088612
HumanEval/76,True,0.7,0.7,0.0,0.9999986489613851,0.86,1.0,0.8443683930983129
HumanEval/77,False,,,0.0,,0.92,0.0,0.0
HumanEval/78,True,0.7,0.7,0.0,0.9999986489613851,0.94,1.0,0.8697780342784196
HumanEval/79,False,1.0,1.0,0.0,,0.98,0.0,0.0
HumanEval/80,True,0.6,0.6,0.375,0.9999987284342448,0.8200000000000001,1.0,0.6553887081781616
HumanEval/81,False,,,0.0,,0.98,0.0,0.0
HumanEval/82,False,,,0.0,,0.9,0.0,0.0
HumanEval/83,False,,,0.0,,0.92,0.0,0.0
HumanEval/84,True,0.8,0.8,0.0,0.9999988079071045,0.72,1.0,0.8320331986002106
HumanEval/85,True,0.6,0.6,0.0,0.9999988873799642,0.96,1.0,0.8320332206415889
HumanEval/86,False,,,0.0,,0.96,0.0,0.0
HumanEval/87,False,0.6,0.6,0.0,0.9999985694885254,0.88,0.0,0.0
HumanEval/88,True,0.7,0.7,0.42857142857142866,0.9999988873799642,0.84,1.0,0.7085165747214069
HumanEval/89,False,,,0.0,,0.76,0.0,0.0
HumanEval/90,True,0.8,0.8,0.5,0.9999988079071045,0.88,1.0,0.770256791814033
HumanEval/91,False,,,0.0,,0.72,0.0,0.0
HumanEval/92,False,0.4,0.4,0.0,0.9999984900156657,0.94,0.0,0.0
HumanEval/93,False,,,0.0,,0.6799999999999999,0.0,0.0
HumanEval/94,False,1.0,1.0,0.0,,0.6599999999999999,0.0,0.0
HumanEval/95,False,0.5,0.5,0.0,0.9999988873799642,0.86,0.0,0.0
HumanEval/96,False,,,0.0,,0.62,0.0,0.0
HumanEval/97,False,0.30000000000000004,0.30000000000000004,0.0,0.9999985694885254,0.86,0.0,0.0
HumanEval/98,True,0.5,0.5,0.0,0.9999989668528239,0.96,1.0,0.7829732585913833
HumanEval/99,False,,,0.0,,0.9,0.0,0.0
HumanEval/100,False,0.7,0.7,0.6666666666666667,0.9999988079071045,0.56,0.0,0.0
HumanEval/101,False,0.9,0.9,0.0,0.9999990463256836,0.96,0.0,0.0
HumanEval/102,False,,,0.0,,0.8,0.0,0.0
HumanEval/103,True,0.8,0.8,0.0,0.9999987284342448,0.9,1.0,0.8962805694178846
HumanEval/104,False,,,0.0,,0.92,0.0,0.0
HumanEval/105,False,1.0,1.0,0.0,,0.98,0.0,0.0
HumanEval/106,True,0.7,0.7,0.33333333333333337,0.9999987284342448,0.8200000000000001,1.0,0.6613746144406635
HumanEval/107,False,,,0.0,,0.9,0.0,0.0
HumanEval/108,False,,,0.0,,0.92,0.0,0.0
HumanEval/109,False,,,0.0,,0.72,0.0,0.0
HumanEval/110,False,,,0.0,,0.98,0.0,0.0
HumanEval/111,False,,,0.0,,0.56,0.0,0.0
HumanEval/112,True,0.30000000000000004,0.30000000000000004,0.0,0.9999984900156657,0.94,1.0,0.6557668885507294
HumanEval/113,False,,,0.0,,0.78,0.0,0.0
HumanEval/114,True,0.7,0.7,0.5555555555555556,0.9999986489613851,0.8200000000000001,1.0,0.751466630487137
HumanEval/115,False,,,0.0,,0.86,0.0,0.0
HumanEval/116,False,,,0.0,,0.94,0.0,0.0
HumanEval/117,False,,,0.0,,0.76,0.0,0.0
HumanEval/118,False,,,0.0,,0.92,0.0,0.0
HumanEval/119,False,,,0.0,,0.6799999999999999,0.0,0.0
HumanEval/120,False,0.9,0.9,0.33333333333333337,0.9999986489613851,0.6,0.0,0.0
HumanEval/121,False,,,0.0,,0.96,0.0,0.0
HumanEval/122,False,1.0,1.0,0.0,,0.94,0.0,0.0
HumanEval/123,False,0.30000000000000004,0.30000000000000004,0.5833333333333333,0.999998410542806,0.74,0.0,0.0
HumanEval/124,False,,,0.0,,0.84,0.0,0.0
HumanEval/125,False,1.0,1.0,0.0,,0.94,0.0,0.0
HumanEval/126,False,0.7,0.7,0.4,0.9999980926513672,0.9,0.0,0.0
HumanEval/127,False,0.7,0.7,0.7142857142857143,0.9999985694885254,0.7,0.0,0.0
HumanEval/128,False,,,0.0,,0.76,0.0,0.0
HumanEval/129,False,0.0,0.0,0.05,0.9999983310699463,0.52,0.0,0.0
HumanEval/130,False,0.4,0.4,0.0,0.9999984900156657,0.7,0.0,0.0
HumanEval/131,False,1.0,1.0,0.0,,0.94,0.0,0.0
HumanEval/132,False,0.4,0.4,0.3125,0.9999985694885254,0.62,0.0,0.0
HumanEval/133,True,0.8,0.8,0.4444444444444445,0.9999987284342448,0.8,1.0,0.7302965111850284
HumanEval/134,False,,,0.0,,0.92,0.0,0.0
HumanEval/135,False,0.7,0.7,0.2,0.9999988873799642,0.92,0.0,0.0
HumanEval/136,False,,,0.0,,0.94,0.0,0.0
HumanEval/137,False,0.19999999999999996,0.19999999999999996,0.0,0.9999986489613851,0.78,0.0,0.0
HumanEval/138,False,,,0.0,,0.9,0.0,0.0
HumanEval/139,False,,,0.0,,0.92,0.0,0.0
HumanEval/140,False,,,0.0,,0.98,0.0,0.0
HumanEval/141,False,,,0.0,,0.76,0.0,0.0
HumanEval/142,False,,,0.0,,0.88,0.0,0.0
HumanEval/143,True,0.7,0.7,0.7272727272727273,0.9999988079071045,0.78,1.0,0.7938205851050395
HumanEval/144,False,,,0.0,,0.8200000000000001,0.0,0.0
HumanEval/145,False,0.8,0.8,0.0,0.9999988873799642,0.76,0.0,0.0
HumanEval/146,False,0.5,0.5,0.0,0.9999989668528239,0.96,0.0,0.0
HumanEval/147,False,,,0.0,,0.76,0.0,0.0
HumanEval/148,False,,,0.0,,0.92,0.0,0.0
HumanEval/149,False,0.9,0.9,0.11111111111111108,0.9999986489613851,0.84,0.0,0.0
HumanEval/150,False,,,0.0,,0.94,0.0,0.0
HumanEval/151,False,0.4,0.4,0.625,0.9999987284342448,0.84,0.0,0.0
HumanEval/152,True,0.9,0.9,0.25,0.9999985694885254,0.92,1.0,0.6745162720211179
HumanEval/153,False,,,0.0,,0.86,0.0,0.0
HumanEval/154,True,0.7,0.7,0.0,0.9999987284342448,0.9,1.0,0.8572615248762321
HumanEval/155,False,,,0.0,,0.8200000000000001,0.0,0.0
HumanEval/156,False,,,0.0,,0.56,0.0,0.0
HumanEval/157,False,,,0.0,,0.92,0.0,0.0
HumanEval/158,True,0.5,0.5,0.6666666666666667,0.9999987284342448,0.8200000000000001,1.0,0.7230577932062823
HumanEval/159,False,0.8,0.8,0.0,0.9999984900156657,0.9,0.0,0.0
HumanEval/160,True,0.8,0.8,0.0,0.9999987284342448,0.9,1.0,0.8962805694178846
HumanEval/161,False,,,0.0,,0.84,0.0,0.0
HumanEval/162,False,,,0.0,,0.92,0.0,0.0
HumanEval/163,False,0.7,0.7,0.2857142857142857,0.9999985694885254,0.86,0.0,0.0
