task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/1,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/2,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/3,True,0.7,0.7,0.0,,0.86,1.0,0.626
HumanEval/4,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/5,True,0.7,0.7,0.625,0.9999979337056478,0.84,1.0,0.8489997933705647
HumanEval/6,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/7,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/8,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/9,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/10,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/11,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/12,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/13,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/14,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/15,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/16,True,0.9,0.9,0.0,0.9999986489613851,0.96,1.0,0.7759998648961386
HumanEval/17,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/18,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/19,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/20,True,0.7,0.7,0.0,,0.8,1.0,0.6200000000000001
HumanEval/21,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/22,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/23,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/24,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/25,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/26,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/27,True,0.9,0.9,0.0,0.9999985694885254,0.96,1.0,0.7759998569488525
HumanEval/28,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/29,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/30,True,0.7,0.7,0.0,0.9999988079071045,0.98,1.0,0.7379998807907104
HumanEval/31,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/32,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/33,True,0.5,0.5,0.0,0.9999986489613851,0.84,1.0,0.6839998648961385
HumanEval/34,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/35,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/36,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/37,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/38,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/39,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/40,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/41,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/42,False,,,0.0,,0.96,0.0,0.096
HumanEval/43,True,0.7,0.7,0.42857142857142866,0.9999986489613851,0.86,1.0,0.8117141506104243
HumanEval/44,True,0.7,0.7,0.5555555555555556,0.9999985694885254,0.8200000000000001,1.0,0.8331109680599638
HumanEval/45,True,0.9,0.9,0.0,0.9999989668528239,0.96,1.0,0.7759998966852825
HumanEval/46,True,0.4,0.4,0.0,0.9999986489613851,0.8,1.0,0.6599998648961385
HumanEval/47,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/48,True,0.9,0.9,0.0,0.9999988873799642,0.96,1.0,0.7759998887379965
HumanEval/49,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/50,False,1.0,1.0,0.0,,0.94,0.0,0.29400000000000004
HumanEval/51,False,,,0.0,,0.96,0.0,0.096
HumanEval/52,True,0.7,0.7,0.0,0.9999986489613851,0.9,1.0,0.7299998648961386
HumanEval/53,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/54,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/55,True,0.8,0.8,0.0,0.9999988873799642,0.9,1.0,0.7499998887379965
HumanEval/56,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/57,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/58,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/59,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/60,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/61,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/62,False,0.8,0.8,0.0,,0.96,0.0,0.256
HumanEval/63,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/64,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/65,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/66,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/67,False,,,0.0,,0.96,0.0,0.096
HumanEval/68,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/69,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/70,False,,,0.0,,0.96,0.0,0.096
HumanEval/71,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/72,True,0.8,0.8,0.0,0.9999985694885254,0.96,1.0,0.7559998569488525
HumanEval/73,True,0.7,0.7,0.4,0.9999988079071045,0.8,1.0,0.7999998807907105
HumanEval/74,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/75,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/76,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/77,True,0.8,0.8,0.33333333333333337,0.9999986489613851,0.88,1.0,0.8146665315628052
HumanEval/78,True,0.7,0.7,0.25,0.9999988873799642,0.92,1.0,0.7819998887379965
HumanEval/79,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/80,False,,,0.0,,0.92,0.0,0.09200000000000001
