task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,True,0.6,0.6,0.7142857142857143,0.9999931653340658,0.86,1.0,0.7791654280144295
HumanEval/1,True,0.5,0.5,0.8125,0.9999984900156657,0.6799999999999999,1.0,0.7249789681228916
HumanEval/2,True,0.9,0.9,0.5,0.9999990463256836,0.96,1.0,0.810719899593419
HumanEval/3,True,0.7,0.7,0.875,0.9999990463256836,0.84,1.0,0.8469275125937334
HumanEval/4,True,0.8,0.8,0.8,0.9999991257985433,0.9,1.0,0.8711752445428016
HumanEval/5,True,0.7,0.7,0.875,0.999998410542806,0.84,1.0,0.8469273779780702
HumanEval/6,False,,,0.0,,0.72,0.0,0.0
HumanEval/7,False,,,0.0,,0.98,0.0,0.0
HumanEval/8,True,0.7,0.7,0.888888888888889,0.9999990463256836,0.8200000000000001,1.0,0.8451615656082768
HumanEval/9,False,,,0.0,,0.98,0.0,0.0
HumanEval/10,False,,,0.0,,0.98,0.0,0.0
HumanEval/11,True,0.8,0.8,0.005,0.9999989668528239,0.96,1.0,0.2489331266192106
HumanEval/12,True,0.8,0.8,0.8333333333333334,0.9999990463256836,0.88,1.0,0.8751807361771204
HumanEval/13,True,0.8,0.8,0.25,0.9999989668528239,0.92,1.0,0.6549442649608469
HumanEval/14,True,0.8,0.8,0.005,0.9999990463256836,0.94,1.0,0.24762635083511553
HumanEval/15,True,0.8,0.8,0.005,0.9999992847442627,0.96,1.0,0.24893314640265615
HumanEval/16,True,0.9,0.9,0.5,0.9999992847442627,0.96,1.0,0.8107199479161323
HumanEval/17,True,0.5,0.5,0.9166666666666666,0.9999991257985433,0.76,1.0,0.7682430923943422
HumanEval/18,False,0.9,0.9,0.5,0.9999990463256836,0.96,0.0,0.0
HumanEval/19,False,0.7,0.7,0.5555555555555556,0.9999925295511881,0.8200000000000001,0.0,0.0
HumanEval/20,True,0.7,0.7,0.909090909090909,0.9999959468841553,0.78,1.0,0.8393624746570285
HumanEval/21,True,0.8,0.8,0.8,0.9999975363413492,0.9,1.0,0.8711748983683527
HumanEval/22,True,0.7,0.7,0.6666666666666667,0.999999205271403,0.94,1.0,0.813829769992277
HumanEval/23,True,0.9,0.9,0.5,0.9999992847442627,0.96,1.0,0.8107199479161323
HumanEval/24,True,0.7,0.7,0.6,0.999999205271403,0.9,1.0,0.7841025453671115
HumanEval/25,True,0.7,0.7,0.22222222222222224,,0.8,1.0,0.4992581591479005
HumanEval/26,False,0.7,0.7,0.005,,0.84,0.0,0.0
HumanEval/27,True,0.9,0.9,0.5,0.999999205271403,0.96,1.0,0.8107199318085622
HumanEval/28,False,,,0.0,,0.94,0.0,0.0
HumanEval/29,True,0.7,0.7,0.005,,0.96,1.0,0.14977744774437016
HumanEval/30,True,0.7,0.7,0.005,0.9999992847442627,0.96,1.0,0.24076022564924074
HumanEval/31,True,0.6,0.6,0.7142857142857143,0.999999205271403,0.86,1.0,0.779166604547396
HumanEval/32,False,0.7,0.6,0.005,0.9999989668528239,0.8200000000000001,0.0,0.0
HumanEval/33,True,0.5,0.5,0.75,0.9999992847442627,0.84,1.0,0.7491651402046894
HumanEval/34,True,0.9,0.9,0.005,0.9999992847442627,0.96,1.0,0.2563721579948057
HumanEval/35,True,0.9,0.9,0.005,0.9999993642171224,0.98,1.0,0.2576971279487835
HumanEval/36,True,0.6,0.6,0.6666666666666667,0.9999993642171224,0.88,1.0,0.7702568989395308
HumanEval/37,True,0.7,0.7,0.7272727272727273,0.9999992847442627,0.76,1.0,0.7886824118504706
HumanEval/38,False,,,0.0,,0.98,0.0,0.0
HumanEval/39,False,,,0.0,,0.9,0.0,0.0
HumanEval/40,True,0.5,0.5,0.5714285714285714,0.9999976952870687,0.86,1.0,0.7040562392359717
HumanEval/41,True,0.9,0.9,0.005,0.9999991257985433,0.96,1.0,0.2563721478074836
HumanEval/42,True,0.8,0.8,0.005,0.999999205271403,0.96,1.0,0.2489331414567952
HumanEval/43,True,0.7,0.7,0.5714285714285714,0.999999205271403,0.86,1.0,0.76584260712263
HumanEval/44,True,0.8,0.8,0.25,0.9999988873799642,0.9,1.0,0.6513553812547427
HumanEval/45,True,0.9,0.9,0.005,0.9999990463256836,0.96,1.0,0.256372142713822
HumanEval/46,False,0.6,0.6,0.005,0.9999991257985433,0.8200000000000001,0.0,0.0
HumanEval/47,True,0.8,0.8,0.33333333333333337,0.9999991257985433,0.86,1.0,0.6920169004966435
HumanEval/48,True,0.9,0.9,0.5,0.9999992847442627,0.96,1.0,0.8107199479161323
HumanEval/49,True,0.9,0.9,0.005,0.9999991257985433,0.96,1.0,0.2563721478074836
HumanEval/50,True,0.8,0.8,0.005,0.999999205271403,0.96,1.0,0.2489331414567952
HumanEval/51,True,0.7,0.7,0.6666666666666667,0.9999988873799642,0.94,1.0,0.8138297053148388
HumanEval/52,True,0.8,0.8,0.005,0.9999988873799642,0.96,1.0,0.2489331216733485
HumanEval/53,True,0.9,0.9,0.005,0.9999990463256836,0.96,1.0,0.256372142713822
HumanEval/54,True,0.9,0.9,0.005,0.9999990463256836,0.96,1.0,0.256372142713822
HumanEval/55,True,0.6,0.6,0.22222222222222224,0.999999205271403,0.8,1.0,0.5714879723952448
HumanEval/56,False,,,0.0,,0.98,0.0,0.0
HumanEval/57,True,0.8,0.8,0.005,0.9999992847442627,0.96,1.0,0.24893314640265615
