task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/1,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/2,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/3,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/4,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/5,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/6,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/7,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/8,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/9,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/10,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/11,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/12,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/13,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/14,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/15,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/16,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/17,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/18,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/19,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/20,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/21,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/22,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/23,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/24,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/25,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/26,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/27,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/28,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/29,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/30,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/31,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/32,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/33,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/34,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/35,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/36,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/37,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/38,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/39,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/40,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/41,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/42,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/43,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/44,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/45,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/46,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/47,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/48,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/49,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/50,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/51,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/52,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/53,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/54,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/55,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/56,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/57,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/58,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/59,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/60,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/61,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/62,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/63,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/64,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/65,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/66,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/67,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/68,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/69,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/70,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/71,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/72,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/73,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/74,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/75,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/76,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/77,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/78,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/79,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/80,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/81,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/82,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/83,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/84,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/85,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/86,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/87,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/88,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/89,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/90,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/91,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/92,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/93,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/94,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/95,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/96,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/97,False,1.0,1.0,0.005,,1.0,0.0,0.0
HumanEval/98,False,1.0,1.0,0.005,,1.0,0.0,0.0
