task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/1,False,,,0.0,,0.96,0.0,0.096
HumanEval/2,False,,,0.0,,0.98,0.0,0.098
HumanEval/3,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/4,False,,,0.0,,0.86,0.0,0.08600000000000001
HumanEval/5,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/6,False,,,0.0,,0.96,0.0,0.096
HumanEval/7,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/8,False,,,0.0,,0.94,0.0,0.094
HumanEval/9,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/10,False,,,0.0,,0.96,0.0,0.096
HumanEval/11,False,,,0.0,,0.0,0.0,0.0
HumanEval/12,False,,,0.0,,0.96,0.0,0.096
HumanEval/13,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/14,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/15,False,,,0.0,,0.96,0.0,0.096
HumanEval/16,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/17,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/18,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/19,False,,,0.0,,0.86,0.0,0.08600000000000001
HumanEval/20,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/21,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/22,False,,,0.0,,0.88,0.0,0.08800000000000001
HumanEval/23,False,0.9,0.9,0.0,0.9999979337056478,0.86,0.0,0.3659997933705648
HumanEval/24,False,,,0.0,,0.94,0.0,0.094
HumanEval/25,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/26,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/27,False,,,0.0,,0.18000000000000005,0.0,0.018000000000000006
HumanEval/28,False,,,0.0,,0.98,0.0,0.098
HumanEval/29,False,,,0.0,,0.8200000000000001,0.0,0.08200000000000002
HumanEval/30,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/31,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/32,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/33,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/34,False,,,0.0,,0.98,0.0,0.098
HumanEval/35,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/36,False,,,0.0,,0.98,0.0,0.098
HumanEval/37,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/38,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/39,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/40,False,,,0.0,,0.96,0.0,0.096
HumanEval/41,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/42,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/43,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/44,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/45,False,,,0.0,,0.94,0.0,0.094
HumanEval/46,False,,,0.0,,0.98,0.0,0.098
HumanEval/47,False,1.0,1.0,0.0,,0.94,0.0,0.29400000000000004
HumanEval/48,False,1.0,1.0,0.0,,1.0,0.0,0.30000000000000004
HumanEval/49,False,,,0.0,,0.98,0.0,0.098
